n_labels,strategy,auprc,auprc_sd,lift_over_random,lift_sd,auroc,precision_at_5,n_patients,n_seeds_beating_random,n_seeds
2,confident,0.5437,0.0072,0.0615,0.0083,0.7652,0.6218,22,5.0,5
2,rate,0.5213,0.0143,0.0391,0.0101,0.7607,0.5927,22,5.0,5
2,uncertainty,0.4906,0.0133,0.0084,0.0104,0.7619,0.5873,22,4.0,5
2,random,0.4822,0.0093,0.0,0.0,0.7614,0.5909,22,,5
5,rate,0.5718,0.0136,0.0469,0.0158,0.7819,0.6036,22,5.0,5
5,confident,0.5689,0.0114,0.044,0.0092,0.7751,0.6036,22,5.0,5
5,random,0.5249,0.011,0.0,0.0,0.774,0.6055,22,,5
5,uncertainty,0.508,0.0149,-0.0169,0.0186,0.7783,0.5982,22,0.0,5
10,rate,0.5915,0.008,0.0311,0.0207,0.8019,0.6127,22,4.0,5
10,confident,0.5886,0.0104,0.0282,0.0183,0.7986,0.6127,22,4.0,5
10,random,0.5604,0.0168,0.0,0.0,0.7994,0.6255,22,,5
10,uncertainty,0.5304,0.0199,-0.03,0.0299,0.7945,0.6055,22,1.0,5
