window_s,source,n_seizure_free,n_recurrence,mean_seizure_free,mean_recurrence,auc,auc_lo,auc_hi,p_permutation
30.0,expert,13,7,0.6923076923076923,0.4285714285714285,0.6318681318681318,0.4119505494505495,0.8516483516483516,0.3563467492260062
60.0,expert,13,7,0.9230769230769232,0.2857142857142857,0.8186813186813187,0.6373626373626373,1.0,0.0072239422084623
120.0,expert,13,7,0.7692307692307693,0.2857142857142857,0.7417582417582418,0.521978021978022,0.9285714285714286,0.0623323013415892
180.0,expert,13,7,0.8461538461538461,0.4285714285714285,0.7087912087912088,0.4945054945054945,0.9230769230769232,0.1219298245614035
240.0,expert,13,7,0.8461538461538461,0.4285714285714285,0.7087912087912088,0.4945054945054945,0.9230769230769232,0.1219298245614035
300.0,expert,13,7,0.8461538461538461,0.4285714285714285,0.7087912087912088,0.4945054945054945,0.9230769230769232,0.1219298245614035
30.0,rms,10,6,0.8,0.5,0.65,0.4166666666666667,0.8666666666666667,0.2994505494505494
60.0,rms,12,7,0.8333333333333334,0.4285714285714285,0.7023809523809523,0.4880952380952381,0.9166666666666666,0.1287409700722394
120.0,rms,12,7,0.75,0.4285714285714285,0.6607142857142857,0.4345238095238095,0.8869047619047619,0.3260895451297928
180.0,rms,13,7,0.7692307692307693,0.4285714285714285,0.6703296703296703,0.4505494505494505,0.8901098901098901,0.1735810113519091
240.0,rms,13,7,0.7692307692307693,0.4285714285714285,0.6703296703296703,0.4505494505494505,0.8901098901098901,0.1735810113519091
300.0,rms,13,7,0.7692307692307693,0.4285714285714285,0.6703296703296703,0.4505494505494505,0.8901098901098901,0.1735810113519091
