source,scope,band,metric,n_seizure_free,n_recurrence,median_seizure_free,median_recurrence,mean_seizure_free,mean_recurrence,iqr_seizure_free,iqr_recurrence,auc,auc_lo,auc_hi,rank_biserial,p_permutation,n_comparisons,p_bonferroni
expert,all,fast_ripple,share_in_rz,13,7,0.49812734082397003,0.41379310344827586,0.45240579096312133,0.4637875083083816,0.304-0.635,0.338-0.604,0.4835164835164835,0.21978021978021978,0.7692307692307693,-0.03296703296703296,0.9384674922600619,36,1.0
expert,all,ripple,share_in_rz,13,7,0.1922272568839317,0.3018867924528302,0.29038930207842434,0.36998747067224835,0.102-0.375,0.205-0.521,0.4065934065934066,0.15384615384615385,0.6813186813186813,-0.18681318681318682,0.5355521155830754,36,1.0
expert,reviewed,fast_ripple,share_in_rz,13,7,0.49812734082397003,0.41379310344827586,0.45240579096312133,0.4637875083083816,0.304-0.635,0.338-0.604,0.4835164835164835,0.21978021978021978,0.7692307692307693,-0.03296703296703296,0.9384674922600619,36,1.0
expert,reviewed,ripple,share_in_rz,13,7,0.1922272568839317,0.3018867924528302,0.29038930207842434,0.36998747067224835,0.102-0.375,0.205-0.521,0.4065934065934066,0.15384615384615385,0.6813186813186813,-0.18681318681318682,0.5355521155830754,36,1.0
rms,all,fast_ripple,share_in_rz,13,7,0.4236559139784946,0.1875,0.4224994023576775,0.400297591033695,0.070-0.750,0.083-0.781,0.510989010989011,0.21978021978021978,0.8131868131868132,0.0219780219780219,0.9552115583075336,36,1.0
rms,all,ripple,share_in_rz,13,7,0.14854927129295362,0.1358659588586596,0.18695860093421773,0.2627053917602652,0.106-0.270,0.066-0.390,0.4945054945054945,0.17582417582417584,0.8131868131868132,-0.01098901098901095,1.0,36,1.0
rms,reviewed,fast_ripple,share_in_rz,13,7,0.8,0.2222222222222222,0.6301870914945353,0.4342817632299965,0.397-0.945,0.183-0.782,0.7087912087912088,0.46153846153846156,0.9120879120879121,0.41758241758241765,0.1410216718266254,36,1.0
rms,reviewed,ripple,share_in_rz,13,7,0.48173762697212014,0.3775310254735467,0.3807408745061689,0.3853714537711889,0.161-0.585,0.209-0.504,0.5164835164835165,0.24175824175824176,0.7912087912087912,0.03296703296703307,0.9384674922600619,36,1.0
expert,all,fast_ripple,share_in_rz_incl_partial,13,7,0.49812734082397003,0.44761904761904764,0.4764747937984637,0.534141730568027,0.312-0.635,0.422-0.674,0.4725274725274725,0.2087912087912088,0.7582417582417582,-0.05494505494505497,0.8772961816305469,36,1.0
expert,all,ripple,share_in_rz_incl_partial,13,7,0.19296348665058638,0.3880597014925373,0.31045263031149417,0.46174232445304636,0.109-0.375,0.239-0.706,0.3626373626373626,0.10989010989010989,0.6376373626373586,-0.27472527472527475,0.3506965944272446,36,1.0
expert,reviewed,fast_ripple,share_in_rz_incl_partial,13,7,0.49812734082397003,0.44761904761904764,0.4764747937984637,0.534141730568027,0.312-0.635,0.422-0.674,0.4725274725274725,0.2087912087912088,0.7582417582417582,-0.05494505494505497,0.8772961816305469,36,1.0
expert,reviewed,ripple,share_in_rz_incl_partial,13,7,0.19296348665058638,0.3880597014925373,0.31045263031149417,0.46174232445304636,0.109-0.375,0.239-0.706,0.3626373626373626,0.10989010989010989,0.6376373626373586,-0.27472527472527475,0.3506965944272446,36,1.0
rms,all,fast_ripple,share_in_rz_incl_partial,13,7,0.4243727598566308,0.2909090909090909,0.4498633728941996,0.45297470330810546,0.134-0.750,0.143-0.833,0.510989010989011,0.21978021978021978,0.8131868131868132,0.0219780219780219,0.9552115583075336,36,1.0
rms,all,ripple,share_in_rz_incl_partial,13,7,0.18090653830726033,0.18165228931652289,0.23096607101894928,0.34748277124520816,0.111-0.317,0.103-0.567,0.45054945054945056,0.14285714285714285,0.7692307692307693,-0.09890109890109888,0.7573013415892673,36,1.0
rms,reviewed,fast_ripple,share_in_rz_incl_partial,13,7,0.8,0.2909090909090909,0.6639063769759036,0.4768236008877218,0.427-0.954,0.226-0.833,0.7197802197802198,0.46153846153846156,0.9340659340659341,0.43956043956043955,0.12002063983488132,36,1.0
rms,reviewed,ripple,share_in_rz_incl_partial,13,7,0.48173762697212014,0.4111776447105788,0.4082258006591704,0.46346426071093083,0.196-0.658,0.232-0.671,0.43956043956043955,0.17582417582417584,0.7252747252747253,-0.1208791208791209,0.6991744066047472,36,1.0
expert,all,fast_ripple,top_channel_resected,13,7,1.0,0.0,0.8461538461538461,0.42857142857142855,1.000-1.000,0.000-1.000,0.7087912087912088,0.4945054945054945,0.9230769230769231,0.41758241758241765,0.12192982456140351,36,1.0
expert,all,ripple,top_channel_resected,13,7,0.0,0.0,0.3076923076923077,0.2857142857142857,0.000-1.000,0.000-0.500,0.510989010989011,0.29120879120879123,0.7307692307692307,0.0219780219780219,1.0,36,1.0
expert,reviewed,fast_ripple,top_channel_resected,13,7,1.0,0.0,0.8461538461538461,0.42857142857142855,1.000-1.000,0.000-1.000,0.7087912087912088,0.4945054945054945,0.9230769230769231,0.41758241758241765,0.12192982456140351,36,1.0
expert,reviewed,ripple,top_channel_resected,13,7,0.0,0.0,0.3076923076923077,0.2857142857142857,0.000-1.000,0.000-0.500,0.510989010989011,0.29120879120879123,0.7307692307692307,0.0219780219780219,1.0,36,1.0
rms,all,fast_ripple,top_channel_resected,13,7,1.0,0.0,0.5384615384615384,0.42857142857142855,0.000-1.000,0.000-1.000,0.554945054945055,0.33516483516483514,0.7747252747252747,0.10989010989010994,1.0,36,1.0
rms,all,ripple,top_channel_resected,13,7,0.0,0.0,0.38461538461538464,0.14285714285714285,0.000-1.000,0.000-0.000,0.6208791208791209,0.4340659340659341,0.8076923076923077,0.2417582417582418,0.35436016511867907,36,1.0
rms,reviewed,fast_ripple,top_channel_resected,13,7,1.0,0.0,0.7692307692307693,0.42857142857142855,1.000-1.000,0.000-1.000,0.6703296703296703,0.45054945054945056,0.8901098901098901,0.34065934065934056,0.17358101135190918,36,1.0
rms,reviewed,ripple,top_channel_resected,13,7,1.0,0.0,0.6153846153846154,0.14285714285714285,0.000-1.000,0.000-0.000,0.7362637362637363,0.5494505494505495,0.9230769230769231,0.4725274725274726,0.07027863777089784,36,1.0
expert,all,fast_ripple,top3_resected,13,7,0.6666666666666666,0.3333333333333333,0.5897435897435898,0.4285714285714285,0.333-0.667,0.167-0.667,0.6318681318681318,0.36813186813186816,0.8736263736263736,0.2637362637362637,0.3495356037151703,36,1.0
