source,scope,band,metric,n_seizure_free,n_recurrence,median_seizure_free,median_recurrence,mean_seizure_free,mean_recurrence,iqr_seizure_free,iqr_recurrence,auc,auc_lo,auc_hi,rank_biserial,p_permutation,n_comparisons,p_bonferroni,arm,run,t_start,t_stop,window_s,n_common_subjects
expert,reviewed,fast_ripple,share_in_rz,13,7,0.4825704759017884,0.4137931034482758,0.4617103949413251,0.4795931021583536,0.323-0.627,0.316-0.702,0.4615384615384615,0.1868131868131868,0.7582417582417582,-0.0769230769230768,0.8167956656346749,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,ripple,share_in_rz,13,7,0.2520987239758227,0.3880597014925373,0.2897701660830808,0.4179975548067803,0.089-0.397,0.203-0.651,0.3736263736263736,0.1208791208791208,0.6483516483516484,-0.2527472527472527,0.3928792569659443,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,fast_ripple,share_in_rz,13,7,0.6538461538461539,0.2222222222222222,0.6124345685960869,0.4333685685774607,0.346-0.871,0.182-0.773,0.6813186813186813,0.4065934065934066,0.9230769230769232,0.3626373626373627,0.2106037151702786,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,ripple,share_in_rz,13,7,0.4810041011311911,0.3968446601941747,0.3805185380961808,0.3998516114686912,0.145-0.589,0.249-0.509,0.5274725274725275,0.2527472527472527,0.8021978021978022,0.0549450549450549,0.8772961816305469,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,fast_ripple,share_in_rz_incl_partial,13,7,0.4825704759017884,0.5965103598691385,0.4838140575894324,0.5513940542203056,0.332-0.627,0.397-0.702,0.4065934065934066,0.1428571428571428,0.6923076923076923,-0.1868131868131868,0.5355521155830754,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,ripple,share_in_rz_incl_partial,13,7,0.2520987239758227,0.6401734104046243,0.3096447938891831,0.5062150556759001,0.107-0.397,0.276-0.702,0.3296703296703296,0.0879120879120879,0.6043956043956044,-0.3406593406593406,0.2413570691434468,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,fast_ripple,share_in_rz_incl_partial,13,7,0.6538461538461539,0.3032490974729241,0.6460060985944653,0.4782431555397146,0.424-0.938,0.226-0.818,0.6813186813186813,0.4065934065934066,0.9230769230769232,0.3626373626373627,0.2106037151702786,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,ripple,share_in_rz_incl_partial,13,7,0.4810041011311911,0.4111776447105788,0.4066386217172243,0.4776713089921724,0.178-0.635,0.282-0.673,0.4395604395604395,0.1758241758241758,0.7252747252747253,-0.1208791208791209,0.6991744066047472,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,fast_ripple,top_channel_resected,13,7,1.0,1.0,0.8461538461538461,0.5714285714285714,1.000-1.000,0.000-1.000,0.6373626373626373,0.4230769230769231,0.8571428571428571,0.2747252747252746,0.2897961816305469,24,1.0,pooled,pooled,0.0,300.0,300.0,
expert,reviewed,ripple,top_channel_resected,13,7,0.0,0.0,0.3846153846153846,0.4285714285714285,0.000-1.000,0.000-1.000,0.478021978021978,0.2582417582417582,0.6978021978021978,-0.0439560439560439,1.0,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,fast_ripple,top_channel_resected,13,7,1.0,0.0,0.8461538461538461,0.4285714285714285,1.000-1.000,0.000-1.000,0.7087912087912088,0.4945054945054945,0.9230769230769232,0.4175824175824176,0.1219298245614035,24,1.0,pooled,pooled,0.0,300.0,300.0,
rms,reviewed,ripple,top_channel_resected,13,7,1.0,0.0,0.6153846153846154,0.1428571428571428,0.000-1.000,0.000-0.000,0.7362637362637363,0.5494505494505495,0.8901098901098901,0.4725274725274726,0.0702786377708978,24,1.0,pooled,pooled,0.0,300.0,300.0,
